x,y,z
655699.75,6221712.5,400.487
655702.625,6221726.5,401.18
655705.75,6221741.5,401.329
655708.9375,6221756,400.04
655712.0625,6221770.5,399.3
655714.3125,6221716,402.306
655715.25,6221785.5,399.3
655717.375,6221730.5,402.474
655718.375,6221800,399.3
655720.5,6221745.5,402.491
655721.5625,6221814.5,399.3
655723.625,6221760,401.775
655724.6875,6221829.5,399.3
655726.6875,6221775,402.207
655727.8125,6221844,399.445
655729.625,6221790,399.3
655728.875,6221719.5,402.588
655731,6221858.5,399.675
655732.5,6221805,399.3
655735.25,6221749.5,402.69
655734.125,6221873.5,399.428
655732,6221734.5,402.657
655735.5625,6221819.5,399.3
655738.375,6221765,402.747
655737.3125,6221888,398.652
655738.6875,6221834,399.3
655741.125,6221780,402.586
655740.4375,6221902.5,398.189
655741.9375,6221848.5,399.3
655743.625,6221795,399.3
655743.4375,6221723,402.539
655743.625,6221917.5,398.76
655745.875,6221863,399.3
655746.375,6221809.5,399.3
655746.75,6221932,398.058
655749.6875,6221824,399.3
655753.4375,6221770,402.602
655746.75,6221738.5,402.682
655749.9375,6221946.5,397.883
655752.5,6221838.5,399.3
655751.625,6221879.5,399.3
655755.1875,6221786,401.634
655753.0625,6221961.5,397.761
655752.3125,6221909.5,398.391
655755.8125,6221852.5,399.3
655750.1875,6221754,402.599
655756.8125,6221800,399.3
655756.1875,6221976,398.892
655756.625,6221921.5,398.209
655758,6221726.5,402.539
655759.9375,6221814,399.3
655760.875,6221866.5,399.3
655755.375,6221895.5,398.247
655759.375,6221990.5,397
655760.5,6221936,397.861
655765,6221829,399.3
655762.5,6222005.5,396
655763.9375,6221950.5,397.884
655761.6875,6221742,402.594
655763.875,6221843,399.3
655766.125,6221792,401.961
655765.6875,6222020,396.455
655767.1875,6221965,397.601
655766.5625,6221881,399.3
655765.5625,6221910,398.3
655768.8125,6222034.5,396.131
655770.5,6221980,397.297
655765.6875,6221758.5,402.491
655769.75,6221804,399.438
655771.0625,6221925,397.943
655772,6221816.5,399.3
655772,6222049.5,395.786
655772.5625,6221730,402.422
655773.875,6221994.5,397.008
655775.625,6221868.5,399.3
655774.6875,6221939.5,397.801
655769.8125,6221854.5,399.3
655769.9375,6221777,402.642
655773.9375,6221896.5,398.142
655775.125,6222064,395.578
655777,6222009.5,396.563
655778.25,6221954.5,397.592
655776.875,6221746,402.435
655778.3125,6222078.5,395.333
655776.1875,6221841,399.3
655780.125,6222024,396.389
655778.9375,6221792.5,402.81
655781.25,6221969,397.293
655784.1875,6221913,398.635
655781.4375,6222093.5,395.07
655781.5,6221882.5,399.3
655780.75,6221826,399.3
655783.4375,6222038.5,395.994
655782,6221762.5,402.42
655785.0625,6221983.5,397.12
655784.5625,6221809.5,399.331
655784.6875,6221929,397.777
655784.5625,6222108,394.76
655786.625,6222053.5,395.678
655788.75,6221999,396.746
655789.8125,6221943,397.687
655787.125,6221733.5,402.37
655788.5,6221871.5,399.3
655786.5625,6221856,399.3
655787.75,6222122.5,394.497
655790.3125,6221896,397.739
655789.6875,6222068,395.488
655788.375,6221779,402.626
655791.125,6222014,396.41
655792.6875,6221959,397.29
