x,y,z
668649.25,6221215,425.072
668653.1875,6221195,424.244
668657.125,6221175.5,405.693
668661.0625,6221156,394.462
668661.625,6221227.5,425.554
668665,6221136.5,393.461
668668.875,6221116.5,394.229
668672.8125,6221097,393.475
668676.75,6221077.5,391.667
668674.8125,6221207,420.369
668680.6875,6221058,390.206
668671.9375,6221179.5,405.196
668684.5625,6221038.5,388.006
668682.875,6221157,395.441
668686.1875,6221232,408.586
668688.5,6221018.5,386.9
668688.3125,6221132.5,394.202
668692.4375,6220999,386.9
668692,6221109.5,393.572
668696.375,6220979.5,388.726
668692.75,6221089,393.2
668700.25,6220960,391.23
668699,6221215.5,399.125
668704.1875,6220940,395.86
668705.25,6221065,391.9
668702.625,6221186,396.546
668708.125,6220920.5,395.878
668713.1875,6221035,388.985
668710.8125,6221236.5,398.39
668708.4375,6221152,394.827
668712.0625,6220901,396.087
668716.3125,6221011,387.218
668712.5625,6221124.5,394.111
668715.9375,6220881.5,396.298
668717.3125,6220988.5,388.029
668719.875,6220862,395.931
668716.875,6221096.5,393.076
668720.625,6221215.5,398.909
668723.8125,6220842,395.916
668715.8125,6220969.5,390.429
668727.75,6220822.5,395.188
668727.625,6221169,395.641
668723.0625,6220946,395.666
668730.5,6221240,424.9
668731.625,6220803,392.812
668733,6221116,394.083
668733.25,6220919.5,395.969
668738,6221075,391.9
668741.125,6220999.5,387.051
668735.5625,6220783.5,392.36
668738.125,6220896,396.111
668739.5,6220763.5,391.806
668735.4375,6221193.5,406.54
668739.1875,6221051,388.091
668744.625,6221097.5,392.952
668742.25,6220873.5,395.976
668736.625,6221142,394.49
668743.4375,6220744,391.455
668745.375,6221220.5,416.687
668741.9375,6220972,390.846
668747.3125,6220724.5,390.347
668745.5625,6220850.5,395.9
668745.1875,6221025,386.903
668751.25,6220705,389.004
668747,6220824,395.096
668755.0625,6221170.5,394.581
668754.25,6221119,393.947
668755.1875,6220685.5,387.699
668754.5,6220798,392.793
668760.3125,6220912.5,395.743
668757.9375,6221245,423.589
668758.125,6221079.5,391.9
668759.125,6220665.5,386.362
668759.625,6220776,391.76
668761.4375,6221010,386.905
668757.75,6220941.5,395.7
668764.9375,6220888,395.784
668764.4375,6220991.5,388.588
668763,6220646,385.9
668761.375,6221201.5,420.977
668763.875,6221061.5,388.733
668767.5625,6221098,393.166
668764,6220753.5,391.528
668765.5,6221142,394.258
668766.9375,6220626.5,385.9
668768.875,6220863,396.004
668769.625,6221043.5,386.907
668770.875,6220607,385.9
668766.6875,6220730,390.633
668766.375,6221226,423.544
668771.5625,6220837.5,395.68
668778.1875,6221161,394.218
668774.8125,6220587,385.9
668775.375,6221025.5,386.9
668764.625,6220707,389.067
668774.25,6220813,393.055
668778.6875,6220567.5,385.9
668780.5,6220926,395.618
668779.0625,6220790,391.56
668774.1875,6220969,392.547
668778.3125,6221118,394.093
668776.1875,6220687,387.63
668781.125,6221008,386.917
668781.9375,6221251.5,427.493
668782.625,6220548,387.933
668783.0625,6221081.5,391.9
668786.75,6220666,386.201
668780.8125,6221184.5,396.143
668785.1875,6220766.5,391.626
668787.25,6220904,396.54
668786.5625,6220528.5,390.9
668786.875,6220990,389.271
668787,6221092,393.4
668795.5,6220644,385.902
668789.6875,6220740.5,391.184
668790.5,6220509,408.758
668785.125,6221213,424.588
668793,6220878,395.715
668790.375,6221142,394.023
668794.375,6220489,420.753
668799.875,6220619.5,385.9
668796.0625,6220850.5,395.889
668791.25,6220946.5,395.318
668791,6220710.5,389.185
668798.3125,6220469.5,420.9
668801,6220590.5,385.9
668797.4375,6220824.5,395.7
668805.125,6221116,394.169
668799.25,6221167,393.923
668800.4375,6220686,387.436
668795.875,6220803.5,392.968
668805.875,6220924,395.095
668802.625,6220970.5,394.873
668809.25,6220562.5,386.112
668805.9375,6221258.5,429.577
668811.375,6220537.5,390.868
668805.125,6220783.5,391.765
668807.9375,6221083.5,391.9
668818.75,6220896.5,395.362
668805.9375,6221193.5,398.222
668811.75,6220992.5,389.629
668809.125,6220518,403.635
668813.4375,6220756,391.509
668815.9375,6221147,393.779
668814.4375,6221221,424.527
668819.75,6220495.5,423.658
668817.6875,6220727,390.183
668818,6220468,428.182
668822.125,6220865,395.082
668821.9375,6220697.5,388.085
668822.625,6221101,393.4
668827.3125,6221244,425.756
668823.5,6220836,395.853
668826.1875,6220668,385.918
668824.75,6220976.5,394.319
668823.4375,6220806,392.09
668830.625,6220920.5,396.572
668824.1875,6221174.5,393.75
668826.75,6220949.5,395.286
668829.9375,6221265.5,430.353
668830.375,6220639,385.9
668833.6875,6220778.5,391.733
668832.25,6221089.5,391.9
668831.625,6221200.5,400.222
668845.125,6220904.5,395.752
668833.875,6221128,393.922
668834.625,6220609.5,385.9
668847.25,6220880.5,396.017
