x,y,z
628836.4375,6229670,430.107
628836.75,6229620.5,436.883
628840.8125,6229709.5,429.732
628845.25,6229749.5,426.461
628849.6875,6229789,418.473
628851.75,6229573,443.161
628854.125,6229829,416.405
628869,6229876.5,416.765
628872.75,6229528,452.082
628876,6229605,436.148
628884.9375,6229924,417.038
628880.625,6229650,430.386
628893.4375,6229953,417.351
628898.125,6229740.5,419.521
628891.625,6229792.5,416.803
628901.4375,6229844.5,416.618
628901.875,6229487.5,457.197
628899.875,6229571.5,439.342
628910.375,6229885.5,416.64
628910.8125,6229938.5,417.481
628914.5,6229693.5,428.028
628922.125,6229913,417.296
628942.1875,6229822,416.876
628911,6229610.5,432.41
628929.9375,6229446,463.025
628931.375,6229926,417.396
628943.5625,6229891.5,417.134
628941.1875,6229862,416.919
628950.5625,6229772.5,416.795
628946.0625,6229727,415.931
628951.5625,6229913.5,417.318
628938,6229528,440.964
628955.9375,6229403.5,463.196
628949,6229641,430.303
628972.5,6229692,416.993
628965.75,6229877.5,417.078
628970.5625,6229898.5,417.449
628949.625,6229584.5,433.014
628954.3125,6229470.5,454.281
628979.5625,6229359,463.478
628983.8125,6229851,416.946
628997.1875,6229777.5,416.889
628984.5,6229809.5,416.615
628989.5625,6229884,417.22
628994.4375,6229737.5,417.008
628994,6229503.5,439.202
628993.6875,6229551.5,433.859
629003.875,6229315.5,463.813
629006.0625,6229603.5,426.479
629008.5,6229655,417.859
629008.5625,6229869.5,417.504
629022.5,6229697.5,416.815
629012.0625,6229831,416.991
629021.0625,6229803.5,416.63
629006,6229455.5,450.385
629017.625,6229365.5,463.232
629026.875,6229854,417.323
629030.25,6229273,464.312
629036.875,6229729,416.638
629035.375,6229765.5,415.728
629041.25,6229563,425.923
629038.8125,6229489,437.021
629031.75,6229413,454.427
629033.3125,6229526,431.813
629044.1875,6229837,417.238
629042,6229630,417.426
629058.25,6229598,417.204
629053,6229800.5,416.962
629059.875,6229233,464.638
629061.5625,6229820.5,417.094
629059.125,6229665.5,416.366
629061.0625,6229454.5,442.765
629068.375,6229739,416.428
629063.5625,6229705.5,416.163
629076.875,6229772,416.976
629065.3125,6229537.5,426.1
629072,6229485,434.644
629068,6229379,457.077
629066.6875,6229510.5,430.655
629078.875,6229804,416.706
629081.9375,6229418.5,448.464
629077.9375,6229628.5,416.397
629066.625,6229324,463.434
629091.625,6229600,416.465
629075.3125,6229273.5,463.867
629090.75,6229563,417.769
629094,6229785.5,416.534
629095.6875,6229198.5,464.878
629102.4375,6229655,416.576
629100.0625,6229744,417.071
629094.5,6229526,419.955
629097.375,6229716.5,416.379
629096.0625,6229498.5,426.85
629097.5,6229473,432.616
629099.25,6229447.5,438.048
629097.0625,6229686.5,416.126
629108.4375,6229766.5,416.715
629100.75,6229359.5,456.674
629114.125,6229622.5,416.628
629117.1875,6229588,416.306
629106.5,6229246.5,464.064
629109.25,6229392,446.871
629122.8125,6229747,416.368
629122.875,6229486.5,419.585
629122.875,6229510.5,417.16
629125.375,6229534.5,416.453
629126.5625,6229724,416.706
629128.6875,6229700,416.901
629131.3125,6229676,416.172
629132.5625,6229557,416.273
629122.1875,6229425.5,437.646
629133.6875,6229466,421.295
629135,6229652.5,415.96
629135.625,6229168,465.157
629113.3125,6229291.5,463.346
629136.8125,6229580.5,416.147
629137.1875,6229604.5,416.37
629123.6875,6229333.5,459.574
629137.5,6229628.5,416.425
629136.25,6229369.5,447.145
629144.25,6229218,464.062
629146.3125,6229401,436.961
629150.5625,6229265,463.389
629162.875,6229428,421.834
629167.75,6229144.5,465.5
